S.No.,Name,Height,Width,Channels,Avg Blue,Avg Red,Avg Green
52,penguin12.jpg,900,1350,3,169.0201243,147.3909029,135.2772354
53,penguin13.jpg,1331,2000,3,201.7897085,187.2520466,172.0912506
54,penguin14.jpg,1201,2500,3,202.6243917,199.9560396,194.7736613
55,penguin15.jpg,1277,2000,3,141.7995305,138.6221981,128.7566323
56,penguin17.jpg,1000,1500,3,127.588362,140.954442,144.8826807
57,penguin18.jpg,720,1280,3,142.808202,146.8743598,143.0291526
58,penguin19.jpg,1200,1200,3,168.8522201,162.2790299,153.8211965
59,penguin2.jpg,1801,1800,3,208.7490095,190.4380909,172.8008708
60,penguin20.jpg,1600,2400,3,213.9718708,205.8862935,195.8409016
61,penguin21.jpg,2048,3072,3,194.4996438,190.0582959,184.2596038
62,penguin22.jpg,1440,1920,3,156.8463675,150.7282874,146.9797038
63,penguin23.jpg,800,1200,3,162.7973281,152.7578281,146.2008542
64,penguin24.jpg,1067,1600,3,198.2138086,187.9624959,178.4173331
65,penguin25.jpg,1597,2124,3,192.3921507,183.084884,169.1729717
66,penguin27.jpg,1411,1411,3,192.8150273,180.8388002,154.2714196
67,penguin28.jpg,720,1200,3,124.5793611,131.3241123,127.3987662
68,penguin29.jpg,675,1200,3,131.786016,117.8984963,106.906163
69,penguin3.jpg,2652,3989,3,197.7599298,179.5293889,154.5023083
70,penguin30.jpg,2429,1600,3,226.143873,222.4065858,221.0648407
71,penguin31.jpg,1200,1200,3,140.1428111,148.9256243,151.3807632
72,penguin32.jpg,1333,2000,3,180.3625559,183.3502644,177.8374137
73,penguin33.jpg,2168,1440,3,205.3082196,210.7056862,213.8899511
74,penguin34.jpg,800,1200,3,121.3582052,122.6728229,122.3769458
75,penguin35.jpg,1081,1600,3,231.7726411,224.3253822,213.4224352
76,penguin36.jpg,1000,1333,3,190.773901,184.3080728,178.3955694
77,penguin37.jpg,1800,2400,3,145.2624613,151.7812625,160.797991
78,penguin38.jpg,1439,2560,3,117.9059047,115.7687199,135.1186745
79,penguin39.jpg,1200,1200,3,221.1370444,226.7862458,232.574516
80,penguin4.jpg,4064,2704,3,171.295918,167.3316971,161.2995668
81,penguin40.jpg,1591,2390,3,208.5257163,205.6044345,204.4748867
82,penguin41.jpg,1200,1200,3,97.83334306,106.0190931,114.522991
83,penguin42.jpg,794,1600,3,30.50983863,33.71134446,36.45720482
